Date,open,high,low,close,volume
2021-05-21,238.10668534582032,238.83762919018815,235.38485985977684,235.7984161376953,21863100
2021-05-24,238.3182718362379,241.5594642597976,238.04897595260132,241.19398498535156,21411500
2021-05-25,242.14615993513493,243.08869557539978,241.2324763784631,242.0980682373047,17704300
2021-05-26,241.81918849558588,243.271478782269,241.1651882496709,241.8769073486328,17771600
2021-05-27,241.5690844118336,241.86723238709067,239.72247771865466,239.78018188476562,24426200
2021-05-28,241.40559779033563,242.44431686460024,240.0206390246495,240.13604736328125,18270200
2021-06-01,241.62682349539628,241.68452766984606,237.52005320809064,237.94322204589844,23213300
2021-06-02,238.64532119633685,239.7417445032834,236.4428474366505,237.8470458984375,19406700
2021-06-03,235.846550117456,236.9237338024007,233.71140768799265,236.3178253173828,25307700
2021-06-04,238.2894353899083,242.0307405997001,238.04899157263242,241.20361328125,25281100
2021-06-07,240.42458368050268,244.37748072250199,240.2610836417249,244.10818481445312,23079200
2021-06-08,245.40659823560296,246.22411314134618,242.85788479009744,242.9156036376953,22455000
2021-06-09,244.10821346748003,245.76246833996902,243.53115702915264,243.89662170410156,17937600
2021-06-10,244.56982463133653,247.61865044725548,243.97352866576068,247.4070587158203,24563600
2021-06-11,248.12839586874716,248.609283510247,246.80114128203925,248.03224182128906,18999700
2021-06-14,248.04182735203915,250.01348419533974,246.98386872283527,249.95578002929688,19150500
2021-06-15,249.84035962759822,250.05195136807478,247.83025276859738,248.4842529296875,18038900
2021-06-16,249.4845237170654,250.6194116030859,244.69488651031241,247.541748046875,27220000
2021-06-17,246.28182299342527,251.74469998319134,246.2241188200235,250.92718505859375,27565500
2021-06-18,249.70570296444276,252.27362634365522,248.85933608179366,249.51333618164062,37202200
2021-06-21,249.88844788107733,253.44699862968113,248.06108081005905,252.59103393554688,26696100
2021-06-22,252.67758558788293,255.63024254135578,252.3698104749173,255.36094665527344,24694100
2021-06-23,255.82256045256418,256.63044804916365,254.32219358015837,255.1300811767578,19518700
2021-06-24,255.98617080317328,257.6115737475346,255.32254335956736,256.49591064453125,21446900
2021-06-25,256.0534788555384,257.03447921074826,254.6396678239104,254.88970947265625,25611100
2021-06-28,256.0150427090354,258.6214462995146,255.7457467220235,258.4483337402344,19590000
2021-06-29,258.59252746788644,261.26626170283777,257.7365626894256,261.02581787109375,19937800
2021-06-30,260.34292678716713,260.98729972356773,259.29459535920773,260.5448913574219,21656500
2021-07-01,259.3042477069135,261.4490173838746,259.29464991177207,261.21820068359375,16725300
2021-07-02,262.3915341487316,267.3735229640247,262.0837590204918,267.0368957519531,26458000
2021-07-06,267.4024220376937,268.69119759373734,263.81498911192836,267.04656982421875,31565600
2021-07-07,268.7199357045387,269.96063370318706,266.5559419015925,269.22967529296875,23260000
2021-07-08,266.3155624280756,268.07562758256216,264.36315983308367,266.8157043457031,24618600
2021-07-09,265.1806538246266,267.42157707974224,264.79594962280595,267.3157958984375,23916700
2021-07-12,268.4891758346326,269.07584463447415,266.0077793129093,266.7195129394531,18931700
2021-07-13,266.9118604799698,272.03813906947397,266.7868543506358,270.2396240234375,26120100
2021-07-14,271.557233051648,272.8171562130653,269.8260200844515,271.71112060546875,23113700
2021-07-15,271.2205817245717,271.711096424281,269.1335168159892,270.28765869140625,22604200
2021-07-16,271.28795247697474,273.2403550652202,268.77770380577266,270.0184020996094,26186800
2021-07-19,268.2679481392744,269.6529067683761,263.95921404966873,266.4213562011719,32935600
2021-07-20,267.4024288847443,270.2300510737556,265.7000968938325,268.64312744140625,26259700
2021-07-21,268.23911651623393,270.75896302355244,266.69067242244347,270.6435546875,24364300
2021-07-22,272.99026155226005,275.4716579349154,272.58633241623176,275.2023620605469,23384100
2021-07-23,276.3853722718105,278.90521894376,275.5486324297109,278.59747314453125,22768100
2021-07-26,277.9530216151671,278.61664882454664,275.68324632300676,278.0010986328125,23176100
2021-07-27,278.3666124668251,278.51087288872895,272.1343274321578,275.58709716796875,33604100
2021-07-28,277.943434405772,279.0590972753007,272.98067033830415,275.2793273925781,33566900
2021-07-29,275.29857402961915,277.5876041189694,275.1446864474467,275.54864501953125,18168300
2021-07-30,274.26951069995624,275.7025466900229,273.0576642728328,274.0194396972656,20944800
2021-08-02,275.41403559464675,275.80836709683444,272.89418832067446,273.93292236328125,16267400
2021-08-03,274.50992752859145,276.2507385273349,273.1441936458983,276.1449279785156,17879000
2021-08-04,275.2792740204176,276.5969012290769,273.769280048737,275.5581970214844,16191300
2021-08-05,275.9141446379062,278.5590271143416,275.16396096408687,278.4532165527344,13900200
2021-08-06,277.481777929583,278.4339260044122,276.62578389584934,278.39544677734375,16589300
2021-08-09,278.67438860321397,280.40557237439197,276.8085422037399,277.30865478515625,16117600
2021-08-10,277.7606812698353,278.1934918740184,274.29831384057627,275.49090576171875,18616600
2021-08-11,276.23148694196493,277.62607292416914,274.9330843638876,275.9814453125,13955900
2021-08-12,275.6737082598213,278.8860348144574,275.3947851546205,278.7321472167969,14561300
2021-08-13,278.41476627205253,281.7040218560263,278.24162438521927,281.65594482421875,18249000
2021-08-16,281.98294340140507,283.55064206366075,278.9341023443054,283.33905029296875,22507600
2021-08-17,281.21350772659866,282.2137329544662,279.9535550193779,281.8771057128906,20075300
2021-08-18,281.4146181894163,284.09347133334273,279.70899787712983,280.15228271484375,21813000
2021-08-19,278.1864940413031,286.64704708243323,278.13832497152845,285.9725036621094,29850500
2021-08-20,288.81512041303324,294.71244831740665,287.21551359465093,293.2862854003906,40817600
2021-08-23,292.21670814145693,294.2884777670295,290.8676509020545,293.5657653808594,22830200
2021-08-24,293.9222928481988,294.5293759454758,291.0121816186196,291.609619140625,18175800
2021-08-25,293.22854211359436,293.50799918306285,289.4897341208387,291.0218811035156,20006100
2021-08-26,290.0389651127222,291.42657543670686,288.07320832644916,288.2080993652344,17666100
2021-08-27,288.11173480081567,289.92333882072455,286.0303192932978,288.815185546875,22605700
2021-08-30,290.1642382786574,293.15145574767917,290.106423632768,292.54437255859375,16348100
2021-08-31,293.34417025857385,293.4212466452703,290.5303969246272,290.8965759277344,26285300
2021-09-01,291.8505888037755,294.0861866329376,290.5207930363041,290.8484191894531,18983800
2021-09-02,291.2048383741006,292.322607329848,289.2583147561359,290.1930236816406,16285600
2021-09-03,290.03899719361317,291.59043545834663,289.3355757842756,290.1835632324219,14747900
2021-09-07,290.05824109463697,290.13531748316177,287.3504808113143,289.2584228515625,17180400
2021-09-08,288.8729749296078,289.67276374560055,286.6470229996981,289.2873229980469,15046800
2021-09-09,289.87517720465905,291.1471582820578,286.19415442336,286.43505859375,19927000
2021-09-10,287.5624103075582,289.0078348637292,284.6330083063583,284.95098876953125,19633400
2021-09-13,286.72404054188644,287.67804074980387,283.38029054523867,286.1844177246094,23652900
2021-09-14,288.6608955069357,290.42432979807114,287.25402394768184,288.8825378417969,21853400
2021-09-15,292.2263747390184,294.21142254991946,290.83876450517084,293.7296142578125,28356300
2021-09-16,292.7081489368997,294.2017427055618,289.8172995209801,294.1150207519531,19550800
2021-09-17,293.103255033234,293.4212355512948,288.6320601855472,288.9596862792969,41372500
2021-09-20,285.5484559338163,287.8515134151559,278.98623011838976,283.5923156738281,38278700
2021-09-21,284.93175998192237,286.7144563554884,283.37070598587525,284.0741271972656,22364100
2021-09-22,285.93388603812656,289.2968976412769,283.79465659539153,287.716552734375,26626300
2021-09-23,287.9768206871402,289.9522229123692,286.70483974436394,288.6609802246094,18604600
2021-09-24,287.3794027439531,288.8922585277224,286.12668346058666,288.4586486816406,14999000
2021-09-27,285.3653664442536,285.683346907745,282.2817822917721,283.467041015625,23571700
2021-09-28,279.2560390156346,280.20039373530875,272.4625547192188,273.20452880859375,43186200
2021-09-29,274.7270371271494,276.33626002135594,272.71308241223153,273.66705322265625,26353700
2021-09-30,275.31486617919455,277.35772848518707,271.3736781629652,271.66278076171875,32343600
2021-10-01,271.8554890446492,279.42953021502547,271.05570026891905,278.58154296875,30086300
2021-10-04,276.94334020608034,277.2806118186714,270.05348900845405,272.8094177246094,31350700
2021-10-05,273.7152514221425,279.83422199721866,273.7152514221425,278.25390625,24993000
2021-10-06,275.382351437471,282.9467476472076,275.12218554145016,282.4456481933594,28002600
2021-10-07,284.440325492257,285.8472268251137,283.2261886390808,284.1223449707031,20430500
2021-10-08,285.4424949358928,285.8472268251137,283.0720064625797,284.1223449707031,17685700
2021-10-11,282.26256704142725,287.1288187573514,282.0987392920623,283.52490234375,19298600
2021-10-12,284.5945181012245,284.69088564097564,281.7133139283031,282.2240295410156,17974100
2021-10-13,284.1801784650092,286.4639451294158,282.81182993730505,285.52923583984375,23416300
2021-10-14,288.3237736554529,292.2360554994949,286.9939777701601,291.7349853515625,27262900
2021-10-15,291.3397657509714,293.3730115553381,289.58597692406954,293.1417236328125,25384800
2021-10-18,292.52511657650416,296.9962825877865,291.6771292104213,296.1097717285156,22729300
2021-10-19,297.1311321961775,298.04655016071644,296.0422409246639,297.0155029296875,17682100
2021-10-20,297.9599010679799,298.4320932312607,294.97268352184886,296.22540283203125,16537100
2021-10-21,295.994050963795,299.703950433072,295.2134946556288,299.45343017578125,16918100
2021-10-22,299.10658782442397,299.77148563337295,296.6011787740469,297.9117126464844,17449300
2021-10-25,298.1044190576334,298.1429719558944,295.3099367822359,296.919189453125,17554500
2021-10-26,299.68472017039693,301.03377733794736,297.3720465392761,298.82708740234375,28107300
2021-10-27,304.5028732340633,314.23540765875345,304.5028732340633,311.4120178222656,52588700
2021-10-28,312.5296895645361,313.05005064705665,309.6677477215304,312.5489807128906,26297900
2021-10-29,312.33702609856846,319.9206833758431,312.115383713237,319.55450439453125,34766000
2021-11-01,319.30400131110804,319.429276181663,314.49556360355314,317.38641357421875,27073200
2021-11-02,318.292176820312,321.3179468699199,317.9934580456365,321.00958251953125,26487100
