Datetime,open,high,low,close,volume
2023-06-23 13:30:00,132.25999450683594,132.5399932861328,131.63999938964844,132.24000549316406,1865428
2023-06-23 14:30:00,132.22999572753906,132.28500366210938,132.02999877929688,132.16000366210938,941409
2023-06-23 15:30:00,132.16000366210938,132.4199981689453,132.08999633789062,132.38999938964844,573237
2023-06-23 16:30:00,132.38999938964844,132.4600067138672,132.27200317382812,132.35000610351562,519025
2023-06-23 17:30:00,132.35000610351562,132.44000244140625,132.25999450683594,132.27999877929688,625630
2023-06-23 18:30:00,132.27000427246094,132.28500366210938,131.97000122070312,132.11000061035156,1358539
2023-06-23 19:30:00,132.11000061035156,132.27999877929688,131.94000244140625,132.00999450683594,2025728
2023-06-26 13:30:00,131.75,131.8800048828125,129.97999572753906,130.77000427246094,2056167
2023-06-26 14:30:00,130.77000427246094,131.16990661621094,130.6699981689453,130.97000122070312,838863
2023-06-26 15:30:00,130.97999572753906,131.61000061035156,130.97999572753906,131.60000610351562,551378
2023-06-26 16:30:00,131.60000610351562,131.6699981689453,131.4199981689453,131.60330200195312,615464
2023-06-26 17:30:00,131.61000061035156,131.6999969482422,131.22999572753906,131.35000610351562,512827
2023-06-26 18:30:00,131.35000610351562,131.55999755859375,131.35000610351562,131.52999877929688,617609
2023-06-26 19:30:00,131.52499389648438,131.58999633789062,131.21499633789062,131.25,1025809
2023-06-27 13:30:00,131.25,131.38999938964844,130.0399932861328,130.30999755859375,2295458
2023-06-27 14:30:00,130.30999755859375,130.58999633789062,130.27999877929688,130.52999877929688,918702
2023-06-27 15:30:00,130.52999877929688,130.7899932861328,130.49000549316406,130.75999450683594,699011
2023-06-27 16:30:00,130.75999450683594,130.9499969482422,130.6999969482422,130.94000244140625,486844
2023-06-27 17:30:00,130.9416046142578,131.10000610351562,130.8300018310547,131.02000427246094,548769
2023-06-27 18:30:00,131.02540588378906,131.09750366210938,130.7050018310547,130.93499755859375,1942765
2023-06-27 19:30:00,130.94000244140625,131.07000732421875,130.91000366210938,130.94000244140625,1589278
2023-06-28 13:30:00,130.9199981689453,130.9499969482422,130.33999633789062,130.5050048828125,1769086
2023-06-28 14:30:00,130.5050048828125,130.61000061035156,130.11000061035156,130.61000061035156,2645933
2023-06-28 15:30:00,130.6199951171875,130.8699951171875,130.4949951171875,130.77000427246094,1003584
2023-06-28 16:30:00,130.77000427246094,130.8000030517578,130.33999633789062,130.50999450683594,864934
2023-06-28 17:30:00,130.50999450683594,130.52000427246094,130.25,130.38499450683594,750115
2023-06-28 18:30:00,130.3800048828125,130.4199981689453,130.24000549316406,130.27000427246094,1256873
2023-06-28 19:30:00,130.25999450683594,130.5500030517578,130.2100067138672,130.5500030517578,2397768
2023-06-29 13:30:00,130.22999572753906,131.39999389648438,130.00999450683594,130.9600067138672,1831392
2023-06-29 14:30:00,130.9600067138672,131.27000427246094,130.72999572753906,131.22999572753906,926570
2023-06-29 15:30:00,131.22000122070312,131.41000366210938,131.00999450683594,131.39500427246094,867081
2023-06-29 16:30:00,131.39500427246094,131.4600067138672,131.08999633789062,131.27999877929688,553263
2023-06-29 17:30:00,131.27999877929688,131.2949981689453,130.92999267578125,131.06500244140625,1311917
2023-06-29 18:30:00,131.0800018310547,131.36749267578125,130.96099853515625,131.36000061035156,985459
2023-06-29 19:30:00,131.35000610351562,131.4550018310547,131.1699981689453,131.3699951171875,1186817
2023-06-30 13:30:00,131.8699951171875,132.47000122070312,131.8300018310547,132.14999389648438,1921011
2023-06-30 14:30:00,132.14500427246094,132.5500030517578,132.0399932861328,132.5500030517578,1567907
2023-06-30 15:30:00,132.5399932861328,132.72500610351562,132.25,132.6999969482422,677494
2023-06-30 16:30:00,132.6999969482422,132.7696075439453,132.5449981689453,132.75999450683594,442830
2023-06-30 17:30:00,132.7550048828125,133.02999877929688,132.6699981689453,133.02000427246094,566723
2023-06-30 18:30:00,133.02499389648438,133.0399932861328,132.80999755859375,132.91000366210938,1064695
2023-06-30 19:30:00,132.89999389648438,132.9499969482422,132.7100067138672,132.72000122070312,1509465
