Date,open,high,low,close,volume
2021-05-21,124.59279439116175,124.76825004025154,122.04869119774337,122.26313781738281,79295400
2021-05-24,122.82849985689472,124.70977148763245,122.76026751533502,123.89097595214844,63092900
2021-05-25,124.59277665961783,125.08016000374234,123.13064893754277,123.69600677490234,72009500
2021-05-26,123.75451640869117,124.17366007761332,123.22814942189817,123.64729309082031,56575900
2021-05-27,123.24763627844212,124.41733561849655,121.92197306010468,122.1169204711914,94625600
2021-05-28,122.39960530367183,122.62380153028337,121.405361560534,121.4638442993164,71311100
2021-06-01,121.92193992607521,122.18511960319616,120.8107236239823,121.14213562011719,67637100
2021-06-02,121.14216055572481,122.07792145343016,120.9179717914318,121.9024658203125,59278900
2021-06-03,121.5320769508381,121.69778300232346,120.02120840977952,120.42086029052734,76229200
2021-06-04,120.93748419375007,122.97471980574441,120.72303755703825,122.71153259277344,75169300
2021-06-07,122.98443215380105,123.13064641036082,121.67826831853665,122.72125244140625,71057600
2021-06-08,123.4035896495703,125.21663622404847,123.02343700167279,123.54005432128906,74403800
2021-06-09,123.99818609803275,124.52455300706954,123.32560491924683,123.92020416259766,56877900
2021-06-10,123.81298472926724,124.95345011953233,122.76025831506651,122.92596435546875,71186400
2021-06-11,123.33536251537065,124.22239035571975,122.91621888119515,124.13465881347656,53522400
2021-06-14,124.59278699385679,127.24410590291394,123.8617230721818,127.18562316894531,96906500
2021-06-15,126.6592574474217,127.30259723643738,126.12314095657528,126.36682891845703,62746300
2021-06-16,127.07839924257492,127.58527439037435,125.2166344350542,126.86395263671875,91815000
2021-06-17,126.52277798345058,129.203345250585,126.37655629930642,128.4625244140625,96721700
2021-06-18,127.40981802299594,128.1896075868194,126.95168347380675,127.16613006591797,108953300
2021-06-21,127.01018237446559,129.06690958900398,125.9477063159808,128.95968627929688,79663300
2021-06-22,128.79396232556323,130.6947253937975,128.29682937988724,130.5972442626953,74783600
2021-06-23,130.39259586711862,130.92871251033458,129.86622139067492,130.32435607910156,60214200
2021-06-24,131.0553765632134,131.24058178501798,129.57374966230876,130.04164123535156,68711000
2021-06-25,130.09037560621056,130.50951172104854,129.45677804212312,129.74920654296875,70783700
2021-06-28,130.04166969629122,131.8352098315601,129.98318695524438,131.3770751953125,62111300
2021-06-29,131.39657011097157,133.04390333984907,130.95793469390316,132.887939453125,64556100
