Date,open,high,low,close,volume
2021-05-21,137.85590621087954,138.59276160622107,137.24799945564672,137.56117248535156,2968500
2021-05-24,138.27039539744956,138.8138349086106,137.95723639396624,138.35330200195312,3187600
2021-05-25,138.7493530223612,138.8875072720879,137.57038991019687,137.7730255126953,1637300
2021-05-26,137.96642954526072,138.33486426995606,137.7545883625282,138.2427520751953,3546000
2021-05-27,138.89670082028675,139.09933638470125,138.71249050382255,138.92433166503906,1843300
2021-05-28,139.40324614052753,139.5321947271654,138.86902655178713,139.19139099121094,1552200
2021-06-01,140.17694578795306,140.30589438206752,139.29271681806625,139.6519317626953,2395400
2021-06-02,139.9098448304597,139.9835317575088,139.2835270320585,139.75326538085938,1741100
2021-06-03,139.1454020772455,139.80855645139934,138.53749534206167,139.5506591796875,2884300
2021-06-04,140.12174134269839,140.3980498326949,139.65198880100743,140.24147033691406,2075800
2021-06-07,140.49013658022014,140.49013658022014,139.77170652768746,139.99276733398438,2400100
2021-06-08,140.14013953930566,140.3519947677819,139.338816883952,140.1677703857422,1646000
2021-06-09,140.3519743476601,140.3519743476601,139.5322265625,139.5322265625,1600900
2021-06-10,140.15854667664217,140.43486915964732,139.2835371924136,139.79933166503906,1756400
2021-06-11,140.0204105561964,140.26908817412516,139.63356465173783,140.1677703857422,1315500
2021-06-14,140.1401356279129,140.24145341346807,139.06249048392456,139.73487854003906,1441900
2021-06-15,139.86380279860524,140.06643833440427,139.23747094585974,139.75326538085938,2714500
2021-06-16,139.65200539500162,139.7441176055112,138.1967196059207,138.80462646484375,2776700
2021-06-17,138.62955926734696,138.99799388911515,136.49269467846642,137.44139099121094,3518800
2021-06-18,136.20720071949583,136.3269297039846,135.00981249417725,135.07427978515625,2341900
2021-06-21,135.951819028206,137.7438211613311,135.85945635730485,137.67916870117188,4364700
2021-06-22,137.72532481740419,138.33496340561393,137.0971939667449,137.96548461914062,2095500
2021-06-23,138.08558811978241,138.33497998792618,137.6976311190671,137.7345733642578,2445700
2021-06-24,138.4181193733578,138.79683022715167,138.06710463135462,138.63980102539062,1848400
2021-06-25,139.0093040491415,139.7759860391934,138.85227483595702,139.60971069335938,2162900
