Datetime,open,high,low,close,volume
2023-06-28 13:30:00,109.43000030517578,109.5999984741211,107.98999786376953,108.55500030517578,432277
2023-06-28 14:30:00,108.55000305175781,109.94000244140625,108.52999877929688,109.80999755859375,266231
2023-06-28 15:30:00,109.80999755859375,110.37999725341797,109.69000244140625,110.37999725341797,249719
2023-06-28 16:30:00,110.41000366210938,110.6989974975586,110.19000244140625,110.6500015258789,224099
2023-06-28 17:30:00,110.69999694824219,110.73999786376953,110.29499816894531,110.31999969482422,195734
2023-06-28 18:30:00,110.29000091552734,110.69999694824219,110.29000091552734,110.52999877929688,420783
2023-06-28 19:30:00,110.52999877929688,111.25,100.9000015258789,111.19999694824219,873278
2023-06-29 13:30:00,111.98999786376953,112.91999816894531,111.37000274658203,112.83000183105469,535373
2023-06-29 14:30:00,112.86000061035156,113.30999755859375,111.33000183105469,111.5,454840
2023-06-29 15:30:00,111.47000122070312,111.73999786376953,111.2699966430664,111.66000366210938,298919
2023-06-29 16:30:00,111.6500015258789,112.37999725341797,111.5,111.8499984741211,267498
2023-06-29 17:30:00,111.83999633789062,112.37000274658203,111.81999969482422,112.30999755859375,246915
2023-06-29 18:30:00,112.30999755859375,112.36000061035156,111.93000030517578,112.2300033569336,361656
2023-06-29 19:30:00,112.23999786376953,113.01499938964844,112.02300262451172,112.97000122070312,748972
2023-06-30 13:30:00,113.87999725341797,114.2300033569336,112.82499694824219,114.20500183105469,640014
2023-06-30 14:30:00,114.20500183105469,114.48999786376953,113.7249984741211,114.33000183105469,470523
2023-06-30 15:30:00,114.3499984741211,114.63999938964844,114.18000030517578,114.54000091552734,262910
2023-06-30 16:30:00,114.56500244140625,115.30000305175781,114.56500244140625,115.14810180664062,321440
2023-06-30 17:30:00,115.12999725341797,115.36000061035156,114.87000274658203,114.91000366210938,279821
2023-06-30 18:30:00,114.91999816894531,114.94999694824219,114.56500244140625,114.75499725341797,371123
2023-06-30 19:30:00,114.7699966430664,114.87999725341797,114.27999877929688,114.43000030517578,880829
2023-07-03 13:30:00,114.5999984741211,115.19000244140625,113.65280151367188,114.69000244140625,315763
2023-07-03 14:30:00,114.66999816894531,115.12000274658203,114.23999786376953,115.04000091552734,220419
2023-07-03 15:30:00,115.02999877929688,115.22000122070312,114.88999938964844,114.93000030517578,264951
2023-07-05 13:30:00,115.2699966430664,115.43000030517578,113.94999694824219,114.5,563674
2023-07-05 14:30:00,114.5199966430664,114.81800079345703,113.98500061035156,114.7300033569336,364230
2023-07-05 15:30:00,114.75,115.05000305175781,114.41999816894531,114.51000213623047,265206
2023-07-05 16:30:00,114.51000213623047,114.66000366210938,113.95999908447266,114.01499938964844,231508
2023-07-05 17:30:00,114.02999877929688,114.16999816894531,113.7750015258789,113.88999938964844,230668
2023-07-05 18:30:00,113.88999938964844,114.13999938964844,113.88999938964844,114.0,252143
2023-07-05 19:30:00,113.98999786376953,114.47000122070312,113.94000244140625,114.30000305175781,306441
2023-07-06 13:30:00,113.05999755859375,113.98999786376953,111.36000061035156,111.37000274658203,734044
2023-07-06 14:30:00,111.33000183105469,111.5199966430664,110.43000030517578,110.81500244140625,686834
2023-07-06 15:30:00,110.81500244140625,111.48999786376953,110.69999694824219,111.02999877929688,310597
2023-07-06 16:30:00,111.02999877929688,111.57499694824219,111.0,111.33999633789062,174074
2023-07-06 17:30:00,111.33999633789062,111.63999938964844,111.27999877929688,111.43000030517578,194983
2023-07-06 18:30:00,111.51570129394531,112.0999984741211,111.51000213623047,111.86000061035156,225614
2023-07-06 19:30:00,111.8499984741211,112.5199966430664,111.80000305175781,112.26000213623047,663607
2023-07-07 13:30:00,111.86000061035156,113.5199966430664,111.62999725341797,113.36000061035156,411678
2023-07-07 14:30:00,113.36000061035156,114.24500274658203,113.20500183105469,114.08999633789062,257880
2023-07-07 15:30:00,114.12999725341797,115.18000030517578,114.0,115.05999755859375,334914
2023-07-07 16:30:00,115.08000183105469,117.55000305175781,115.08000183105469,117.54000091552734,621376
2023-07-07 17:30:00,117.55000305175781,117.66999816894531,116.9800033569336,117.37000274658203,749921
2023-07-07 18:30:00,117.3499984741211,117.62000274658203,117.29000091552734,117.52999877929688,528570
2023-07-07 19:30:00,117.5199966430664,117.5199966430664,116.05999755859375,116.20999908447266,975307
2023-07-10 13:30:00,115.62000274658203,117.29000091552734,115.38999938964844,115.83999633789062,494212
2023-07-10 14:30:00,115.8499984741211,116.80000305175781,115.55999755859375,115.96499633789062,343988
2023-07-10 15:30:00,115.94999694824219,116.58999633789062,115.91999816894531,116.22000122070312,281573
2023-07-10 16:30:00,116.23999786376953,116.26000213623047,115.61000061035156,115.87999725341797,294361
2023-07-10 17:30:00,115.87000274658203,116.16000366210938,115.5,115.9000015258789,416733
2023-07-10 18:30:00,115.84500122070312,115.98999786376953,115.75,115.83000183105469,284788
2023-07-10 19:30:00,115.83000183105469,115.87999725341797,115.62999725341797,115.80000305175781,480841
2023-07-11 13:30:00,116.48999786376953,118.37000274658203,116.3678970336914,118.19999694824219,423680
2023-07-11 14:30:00,118.19000244140625,119.19000244140625,117.83000183105469,119.16000366210938,345170
2023-07-11 15:30:00,119.16000366210938,119.55999755859375,119.08999633789062,119.375,219176
2023-07-11 16:30:00,119.36000061035156,119.41000366210938,118.9800033569336,119.30000305175781,355105
2023-07-11 17:30:00,119.2699966430664,119.75,119.2699966430664,119.7300033569336,253101
