=== FULL TIMELINE: Highest temperature in Hong Kong on April 24, 2026 ===
Total rows: 107

  #  timestamp UTC        type        side   bucket   price        size        USDC
 74  2026-04-24 12:12:38  TRADE       SELL     =27C  0.0020       14.67        0.03
 75  2026-04-24 13:00:18  TRADE       SELL     =27C  0.0020        5.60        0.01
 76  2026-04-24 14:19:20  TRADE       SELL     =27C  0.0020      500.00        1.00
 77  2026-04-24 15:02:32  TRADE       SELL     =20C  0.0020     2000.00        4.00
 78  2026-04-24 15:49:24  TRADE       SELL    <=18C  0.0010      143.38        0.14
 79  2026-04-24 16:01:46  TRADE       SELL     =23C  0.9970    10000.45     9968.95
 80  2026-04-24 16:09:40  SPLIT                =21C  0.5000    10000.00    10000.00
 81  2026-04-24 16:10:18  CONVERSION              ?  0.0000    10000.00    10000.00
 82  2026-04-24 16:19:56  TRADE       SELL     =21C  0.0020      500.00        1.00
 83  2026-04-24 16:20:00  TRADE       SELL     =22C  0.0030      298.33        0.89
 84  2026-04-24 16:38:16  TRADE       SELL     =24C  0.0020      379.85        0.76
 85  2026-04-24 17:00:52  TRADE       SELL     =22C  0.0030       20.05        0.06
 86  2026-04-24 17:28:24  TRADE       SELL     =24C  0.0020      500.00        1.00
 87  2026-04-24 18:00:38  TRADE       SELL     =24C  0.0020       20.03        0.04
 88  2026-04-24 18:10:04  TRADE       SELL     =21C  0.0020      400.00        0.80
 89  2026-04-24 18:10:40  TRADE       SELL     =21C  0.0020      740.00        1.48
 90  2026-04-24 18:21:26  TRADE       SELL     =22C  0.0030     8333.33       25.00
 91  2026-04-24 18:21:30  TRADE       SELL    >=28C  0.0030     2183.66        6.55
 92  2026-04-24 18:21:30  TRADE       SELL    >=28C  0.0030     4500.01       13.50
 93  2026-04-24 18:21:38  TRADE       SELL     =27C  0.0030     1517.06        4.55
 94  2026-04-24 18:21:38  TRADE       SELL     =27C  0.0020     3161.05        6.32
 95  2026-04-24 18:21:46  TRADE       SELL     =26C  0.0020     7659.77       15.32
 96  2026-04-24 18:21:56  TRADE       SELL     =25C  0.0020     7870.87       15.74
 97  2026-04-24 18:22:10  TRADE       SELL     =24C  0.0020     9100.37       18.20
 98  2026-04-24 18:22:30  TRADE       SELL     =21C  0.0020     8360.00       16.72
 99  2026-04-24 18:22:54  TRADE       SELL     =20C  0.0020     7162.13       14.32
100  2026-04-24 18:22:54  TRADE       SELL     =20C  0.0020     2837.87        5.68
101  2026-04-24 22:12:04  TRADE       SELL     =22C  0.0030     1348.27        4.04
102  2026-04-24 22:35:16  TRADE       SELL    <=18C  0.0020      354.59        0.71
103  2026-04-24 22:35:16  TRADE       SELL    <=18C  0.0010     4290.82        4.29
104  2026-04-25 02:43:18  TRADE       SELL     =19C  0.0010     1000.00        1.00
105  2026-04-25 02:47:54  TRADE       SELL     =19C  0.0010     1000.00        1.00
106  2026-04-25 02:56:06  TRADE       SELL     =19C  0.0010      641.27        0.64
107  2026-04-25 03:06:40  TRADE       SELL     =19C  0.0010      838.73        0.84
