scope,pair,note,n_bars,return_corr,coint_p,hedge_beta,lead_lag,ll_corr,halflife_bars
intra_sector,BAC/JPM,BAC vs JPM,5078,0.7646157138610239,0.05597185299861759,6.8576743150216215,0,0.7646157138610239,173.58845154574246
intra_sector,GS/MS,Goldman vs Morgan Stanley,5078,0.8440064303355637,0.05766685577320485,0.17267489022083565,0,0.8440064303355637,125.16826028635748
intra_sector,F/GM,Ford vs GM,5078,0.6742867215973112,0.07891412381736218,3.8151175675853835,0,0.6742867215973112,1589.5388757962269
intra_sector,MA/V,Mastercard vs Visa,5078,0.8163998920160069,0.347956050385117,0.6303620141809566,0,0.8163998920160069,199.2810824096157
intra_sector,XOM/CVX,Exxon vs Chevron,5078,0.8238111268151321,0.37140919245044707,0.8343168372805227,0,0.8238111268151321,223.78759625806765
intra_sector,HD/LOW,Home Depot vs Lowe's,5078,0.8649170644567757,0.6186091417696036,0.5062499599796935,0,0.8649170644567757,378.5703200978204
intra_sector,UPS/FDX,UPS vs FedEx,5078,0.5952385771939613,0.7001482519116022,-0.08786609270620609,0,0.5952385771939613,1237.292138461569
intra_sector,KO/PEP,Coke vs Pepsi,5078,0.6038113435852599,0.7083239341297116,-1.0476605252507685,0,0.6038113435852599,265.85035987198154
intra_sector,WMT/TGT,Walmart vs Target,5078,0.27292006039116573,0.9449112738713558,-0.5033997549714677,0,0.27292006039116573,426.4600073287413
intra_sector,AAPL/MSFT,Apple vs Microsoft,5078,0.35751982602839855,0.9564844688493107,0.830395418465935,0,0.35751982602839855,576.5337015942486
mega_vs_etf,XOM/XLE,Exxon vs Energy,5078,0.8983633766009433,0.041328731114234504,0.3008252276907535,0,0.8983633766009433,146.67867687701806
mega_vs_etf,CVX/XLE,Chevron vs Energy,5078,0.8955478872165035,0.08019406516962208,0.29920421418641807,0,0.8955478872165035,275.76536624870266
mega_vs_etf,AAPL/XLK,Apple vs Tech,5078,0.5896898483870106,0.17932259743983042,0.5646724612355114,0,0.5896898483870106,296.6534309684362
mega_vs_etf,AMZN/XLY,Amazon vs Cons. Disc.,5078,0.7522104521251193,0.23465215330932665,0.3536629820418611,0,0.7522104521251193,275.7961287438236
mega_vs_etf,TSLA/XLY,Tesla vs Cons. Disc.,5078,0.7532304330349479,0.24527997967152548,0.13491694703173673,0,0.7532304330349479,308.7848591065207
mega_vs_etf,BAC/XLF,Bank of America vs Financials,5078,0.8286194325366905,0.4586984774736293,0.8065080683890095,0,0.8286194325366905,374.89283473368664
mega_vs_etf,META/XLC,Meta vs Comm,5078,0.7491952800634445,0.5459488051048536,0.1151511968308748,0,0.7491952800634445,558.9141095844116
mega_vs_etf,JPM/XLF,JPMorgan vs Financials,5078,0.8346552613488917,0.6475633104544626,0.11626385957476038,0,0.8346552613488917,345.6273209442099
mega_vs_etf,NVDA/XLK,Nvidia vs Tech,5078,0.783965471070028,0.7764702324168017,0.39501207255438475,0,0.783965471070028,679.1139279370699
mega_vs_etf,UNH/XLV,UnitedHealth vs Healthcare,5078,0.4090991920057647,0.83521206012674,-0.003207295232001143,0,0.4090991920057647,403.51071877435834
mega_vs_etf,MSFT/XLK,Microsoft vs Tech,5078,0.6723569751058791,0.9438613785396948,0.27577315768707095,0,0.6723569751058791,
mega_vs_etf,JNJ/XLV,J&J vs Healthcare,5078,0.5467904012163336,0.9837509201634274,0.14861122685410905,0,0.5467904012163336,387.40775136510445
mega_vs_etf,GOOGL/XLC,Alphabet vs Comm,5078,0.6860611847355428,0.9921277528516633,0.21541734668122475,0,0.6860611847355428,2053.93957684679
sector_vs_spy,XLU/SPY,Utilities vs SPY,5078,0.38467190970926274,0.08954496593377353,15.407271143180822,0,0.38467190970926274,190.25733537457637
sector_vs_spy,XLRE/SPY,Real Estate vs SPY,5078,0.5413966523586055,0.13406469926284081,23.51226655000436,0,0.5413966523586055,427.97347971871017
sector_vs_spy,XLP/SPY,Cons. Staples vs SPY,5078,0.30507591777246595,0.1735518122466264,14.393245431550472,0,0.30507591777246595,333.1092926618916
sector_vs_spy,XLB/SPY,Materials vs SPY,5078,0.7084820229673026,0.23445292632547732,19.28187599788306,0,0.7084820229673026,720.4236279254079
sector_vs_spy,XLI/SPY,Industrials vs SPY,5078,0.8236856410254654,0.3626925464804215,4.033788923648702,0,0.8236856410254654,270.33059536863385
sector_vs_spy,XLV/SPY,Healthcare vs SPY,5078,0.5430739397219395,0.403324683953299,5.814875777496394,0,0.5430739397219395,2417.8547881399663
sector_vs_spy,XLY/SPY,Cons. Disc. vs SPY,5078,0.8618877239857499,0.5418525014655228,5.913177366744768,0,0.8618877239857499,516.6182084958238
sector_vs_spy,XLE/SPY,Energy vs SPY,5078,0.3583834026728803,0.7242157693468246,10.040546205709488,0,0.3583834026728803,893.4532858522555
sector_vs_spy,XLC/SPY,Comm vs SPY,5078,0.8055521890022928,0.7339917505454356,4.768175892474388,0,0.8055521890022928,461.3067646238649
sector_vs_spy,XLF/SPY,Financials vs SPY,5078,0.7794947467790367,0.9447774603215813,11.494707438996091,0,0.7794947467790367,17811.418299864545
sector_vs_spy,XLK/SPY,Tech vs SPY,5078,0.9094226007755993,0.9751009778934433,3.912014190571471,0,0.9094226007755993,1349.3671802284157
