etf,n_constituents_used,coverage_weight,n_bars,track_corr,tracking_error_bps,halflife_bars,sharpe,annual_return,annual_vol,max_drawdown,hit_rate,n_trades,cost_bps_per_leg
XLK,10,0.81,5052,0.9432019189484471,18.972418855553375,24.5371567265064,-0.3132826496311841,-0.01806568118864227,0.057665757136280346,-0.11338940885205084,0.4752895752895753,146,1.0
XLF,10,0.55,5052,0.9796056525771191,8.787586737043519,27.480591782406833,-2.8982597162368124,-0.07338682847698108,0.02532099799954048,-0.21719007943248714,0.4735177865612648,154,1.0
XLE,10,0.71,5052,0.989136695481611,7.942603079379586,25.714942986352515,-2.7117696934135576,-0.060399269769794595,0.02227300862477167,-0.1791657729396715,0.464639061927446,154,1.0
XLV,10,0.5,5052,0.9475050278060195,11.686386774603774,25.97604148556108,-1.5114373475544765,-0.050016436294324285,0.033091967970257895,-0.15016252086099102,0.48504711183941007,166,1.0
XLY,10,0.66,5052,0.9794848947558836,11.56402199041148,25.852419692135882,-1.5599055839977956,-0.05404371364602267,0.0346455030358421,-0.16480193101195362,0.47314285714285714,162,1.0
XLC,10,0.73,5052,0.9462401497115661,15.490238611900983,25.141156550542263,-0.985705705785324,-0.040225399080229596,0.040808731088942535,-0.1399985533977851,0.4926042133572389,156,1.0
SPY,10,0.35400000000000004,5052,0.8900901703247422,27.22927250980487,23.237665433726463,0.2677754607580122,0.020207300911031068,0.07546360242954578,-0.07891178674233656,0.47619047619047616,152,1.0
