label,underlying,otm_pct,n_trades,assignment_rate,breach_rate,win_rate,avg_premium_pct,total_return,annual_return,annual_vol,sharpe,max_drawdown,worst_trade_return,bh_total_return,bh_annual_return
3x Nasdaq-100,TQQQ,0.1,40,0.2,0.6,0.8,0.04144346516650529,0.11629105001450157,0.0340280155065249,0.326205560380103,0.10431463972249459,-0.5145045442195975,-0.40467053738523523,0.897539593475732,0.14337559032671354
3x Nasdaq-100,TQQQ,0.15,40,0.125,0.5,0.9,0.02895201850102112,-0.037470521447837024,-0.01154909454874864,0.29090518456545095,-0.03970054561248358,-0.49445101808692193,-0.3920668623945677,0.897539593475732,0.14337559032671354
3x Nasdaq-100,TQQQ,0.2,40,0.1,0.325,0.9,0.01975784428761952,-0.14050220379101797,-0.0450086231667175,0.25582923140533204,-0.1759322924885253,-0.4633063241831247,-0.3739488460844356,0.897539593475732,0.14337559032671354
3x Nasdaq-100,TQQQ,0.25,40,0.1,0.225,0.925,0.01322807445141368,-0.1529812395813327,-0.04924752827144274,0.22070299558808693,-0.22313937398184105,-0.4185010468920769,-0.34928548487526073,0.897539593475732,0.14337559032671354
3x Nasdaq-100,TQQQ,0.3,40,0.05,0.125,0.95,0.008694504556533358,-0.13952494170800223,-0.0446784774818888,0.18851664398507278,-0.2370001742945655,-0.35667692843384646,-0.3169098405741537,0.897539593475732,0.14337559032671354
3x Nasdaq-100,TQQQ,0.4,40,0.025,0.025,0.975,0.0034852522733151924,-0.11778625377917684,-0.03740107931306158,0.1263742056345698,-0.29595501016411907,-0.22333687814995273,-0.22333687814995276,0.897539593475732,0.14337559032671354
3x Nasdaq-100,TQQQ,0.5,40,0.025,0.025,0.975,0.0011827524087558753,-0.036197266780388926,-0.011151566124663947,0.04474780091832485,-0.24920925488647253,-0.07782422899608243,-0.07782422899608248,0.897539593475732,0.14337559032671354
3x Semiconductors,SOXL,0.1,40,0.35,0.7,0.8,0.08842102582250112,1.0461438387833448,0.24330137919676975,0.43391645354320435,0.560710194808376,-0.5723400817708916,-0.3993169843123485,1.7272178611592115,0.23349986237375941
3x Semiconductors,SOXL,0.15,40,0.25,0.575,0.825,0.07161699885613163,0.8712702004846411,0.2099706965790884,0.39706346583403845,0.528808904989638,-0.5334882309683455,-0.390385850009495,1.7272178611592115,0.23349986237375941
3x Semiconductors,SOXL,0.2,40,0.175,0.5,0.85,0.05670731505709479,0.7077746259185855,0.1767863646648844,0.3584865502533778,0.49314643614922804,-0.5009825060274067,-0.3773698084056855,1.7272178611592115,0.23349986237375941
3x Semiconductors,SOXL,0.25,40,0.15,0.45,0.875,0.04384388508838406,0.5093469332701979,0.13339600496101323,0.31308465449917117,0.4260700837426906,-0.46590466420182963,-0.35933864171117014,1.7272178611592115,0.23349986237375941
3x Semiconductors,SOXL,0.3,40,0.125,0.25,0.9,0.03306321727948336,0.40689788478680766,0.10942138689344127,0.26596083162191636,0.4114191786292507,-0.4117854630374518,-0.3351517430424816,1.7272178611592115,0.23349986237375941
3x Semiconductors,SOXL,0.4,40,0.075,0.15,0.925,0.017357635611460486,0.2955297583239376,0.08193893257126317,0.17510118251157356,0.4679519086962608,-0.2622830896311892,-0.26228308963118924,1.7272178611592115,0.23349986237375941
3x Semiconductors,SOXL,0.5,40,0.025,0.075,0.975,0.008089084147875712,0.15804324273692028,0.04564184068932553,0.09862904805454058,0.4627626605914942,-0.14200344647123608,-0.14200344647123614,1.7272178611592115,0.23349986237375941
3x S&P 500,UPRO,0.1,40,0.1,0.575,0.9,0.024440266892235395,0.22832255663292433,0.0645495072817539,0.21127612767618023,0.30552201042177357,-0.34099196452097946,-0.28668352212907944,1.1566503200738412,0.1744009432553717
3x S&P 500,UPRO,0.15,40,0.1,0.35,0.9,0.015151118571535865,0.05781144964439133,0.017241758898738135,0.17394890726429113,0.09911967352885802,-0.29833884408931577,-0.2627416574672336,1.1566503200738412,0.1744009432553717
3x S&P 500,UPRO,0.2,40,0.075,0.2,0.925,0.0092958491065461,0.04180508952659023,0.012535019731594543,0.1414114859327924,0.08864216120005959,-0.2366709241200633,-0.2308975958637466,1.1566503200738412,0.1744009432553717
3x S&P 500,UPRO,0.25,40,0.025,0.1,0.975,0.005678022669597166,-0.0007577002922111165,-0.00023052795321265585,0.11390838527610059,-0.0020238014317724116,-0.1901599255265296,-0.19015992552652958,1.1566503200738412,0.1744009432553717
3x S&P 500,UPRO,0.3,40,0.025,0.05,0.975,0.0034366000605019196,-0.021757886400677107,-0.006668747116521656,0.08323009046492101,-0.08012423246532854,-0.13951456707651566,-0.13951456707651563,1.1566503200738412,0.1744009432553717
3x S&P 500,UPRO,0.4,40,0.025,0.025,0.975,0.0011757161459415631,0.04259796792927695,0.012769349154866383,0.01444060346378651,0.8842670035839414,-0.0033847171012018062,-0.0033847171012018535,1.1566503200738412,0.1744009432553717
3x S&P 500,UPRO,0.5,40,0.0,0.0,1.0,0.0003420484589443385,0.013723884637404815,0.004154569907897754,0.005479713246780101,0.7581728679578249,0.0,4.473566069677702e-22,1.1566503200738412,0.1744009432553717
3x Russell 2000 small-caps,TNA,0.1,40,0.3,0.675,0.75,0.044822199800181504,0.18638777606105772,0.053361101628359275,0.29739526305327846,0.17942821644337897,-0.4664771872030091,-0.37212074951224006,-0.2987087055993315,-0.07153246217449216
3x Russell 2000 small-caps,TNA,0.15,40,0.225,0.4,0.825,0.031000040389609164,0.20853271623215663,0.05930315772615957,0.25088323892051156,0.23637751960364659,-0.4158605120393696,-0.3556864252880475,-0.2987087055993315,-0.07153246217449216
3x Russell 2000 small-caps,TNA,0.2,40,0.1,0.3,0.9,0.02044936368504314,0.12985782799048962,0.03783442499901102,0.21170091161787302,0.17871640093502938,-0.3678664344709033,-0.3328045203793213,-0.2987087055993315,-0.07153246217449216
3x Russell 2000 small-caps,TNA,0.25,40,0.075,0.125,0.925,0.01286556738216551,0.05664836181676103,0.016901424181584357,0.17857052491196737,0.09464845438471164,-0.3107855785460564,-0.302436026263184,-0.2987087055993315,-0.07153246217449216
3x Russell 2000 small-caps,TNA,0.3,40,0.025,0.1,0.975,0.007728217663380818,-0.015495502895110924,-0.004738850006746342,0.151564743068929,-0.03126617649192462,-0.2634606840027307,-0.26346068400273065,-0.2987087055993315,-0.07153246217449216
3x Russell 2000 small-caps,TNA,0.4,40,0.025,0.05,0.975,0.002435594294023827,-0.07298490589238038,-0.022787748053404333,0.0870788764150011,-0.261690882927822,-0.15434153838381293,-0.15434153838381298,-0.2987087055993315,-0.07153246217449216
3x Russell 2000 small-caps,TNA,0.5,40,0.0,0.0,1.0,0.0006305865260746973,0.02545843214411936,0.007675988561584468,0.006813707057752397,1.1265510090943809,0.0,2.6120353245277678e-08,-0.2987087055993315,-0.07153246217449216
