z_entry,z_exit,sharpe,annual_return,max_dd,n_trades
3.0,0.0,0.8861281031169039,0.07791687540938819,-0.09897988829490079,1
2.0,0.0,0.8822736199067349,0.07757961633135868,-0.09897988829489912,1
2.5,0.0,0.8822736199067349,0.07757961633135868,-0.09897988829489912,1
2.0,0.5,0.7722595920171859,0.04771335680717059,-0.05805725487920854,162
2.5,0.5,0.7357459812689966,0.03975314410226383,-0.07804353480046866,100
2.0,1.0,0.7281011072804253,0.03825865833549735,-0.05081713138873978,186
2.5,1.0,0.6996934971546482,0.032699278585144986,-0.06275429429155122,104
1.0,0.5,0.5185342219664941,0.03801489081438714,-0.10872636445411343,311
2.5,0.25,0.35735837724587205,0.020938375088508376,-0.1242334899865033,94
1.5,0.5,0.3332634148153505,0.02282164552876731,-0.12423648045353086,223
1.0,0.25,0.33125442102016156,0.02569762349804061,-0.16728821000813898,235
3.0,0.5,0.27628658960557406,0.011379529372624653,-0.05952901745860473,56
1.5,1.0,0.2563819693145777,0.015365956033849493,-0.09188579499994598,289
3.0,1.0,0.2517848191378951,0.008436786406603725,-0.05605485285507561,56
2.0,0.25,0.21342259589694482,0.01421317892636531,-0.10660057671090528,146
1.5,0.25,0.21091214026139138,0.015277052783314149,-0.15793971159790787,187
3.0,0.25,0.09169563143520734,0.004089842788236098,-0.07336271547500028,52
1.5,0.0,-0.8836352893867575,-0.07792678756620341,-0.25431422049460006,1
1.0,0.0,-0.8932351679492353,-0.0787892141379225,-0.25431422049460184,1
