name,interval,n_bars,return_corr,halflife_bars,rolling_beta_mean,sharpe,annual_return,annual_vol,max_drawdown,hit_rate,n_trades,legs_per_flip,cost_bps_per_leg
SPY vs RSP,1h,5050,0.8646816231901318,43.325121415282574,0.9069318413889441,0.7722595920151762,0.04771335680702027,0.06178409086834964,-0.05805725487920854,0.476721629485936,162,2,1.0
MAG7 vs RSP,1h,5050,0.5720805712114158,49.56347773407438,1.1263754246246451,-0.22125170949704248,-0.03419820887603975,0.15456698144290218,-0.33103597518036276,0.47574187470560525,166,8,1.0
QQQ vs SPY,1h,5050,0.9537490669481226,50.81045358488436,1.2386302272455523,0.2204714721704548,0.009437597041499934,0.042806431819003656,-0.061401165854845785,0.4909596662030598,162,2,1.0
SPY vs RSP,1d,1255,0.9205813479744239,13.933299082720113,0.9857974815799937,-0.4715276970354996,-0.02360498665804045,0.05006065774385108,-0.1311639876369406,0.4693446088794926,98,2,1.0
MAG7 vs RSP,1d,1255,0.6890308565006464,18.375147588810705,1.4015992519795646,-0.40512898430805355,-0.0743565145610674,0.18353787914746653,-0.5333348525479541,0.45229007633587787,92,8,1.0
QQQ vs SPY,1d,1255,0.9516757603724132,17.383304035880727,1.2821915991966129,-0.49262140673105087,-0.02511035418605334,0.0509729253397274,-0.163352824990321,0.4453125,99,2,1.0
