scope,pair,strategy,leader,follower,n_bars,total_return,annual_return,annual_vol,sharpe,max_drawdown,hit_rate,turnover,n_trades
mega_vs_etf,AAPL/XLK,spread_mr,AAPL,XLK,5078,0.5045639669194322,0.14084591076733588,0.08942858911906602,1.5749539622034334,-0.09338420458546393,0.5018814675446849,172.0,172
mega_vs_etf,AAPL/XLK,lead_lag,AAPL,XLK,5078,-0.7136280495942413,-0.3319281344379228,0.2210012700822875,-1.5019286283483024,-0.7568635319952209,0.4741941862764485,5145.0,2583
mega_vs_etf,AAPL/XLK,buy_hold_follower,AAPL,XLK,5078,1.0990697446076467,0.2702100475850935,0.22100729510502534,1.2226295401547103,-0.263350733894554,0.5311014263074485,0.0,0
mega_vs_etf,MSFT/XLK,spread_mr,MSFT,XLK,5078,0.3018586649853361,0.08881631867513695,0.07004877258318162,1.267921126950072,-0.08072502162049855,0.5077066791219057,166.0,166
mega_vs_etf,MSFT/XLK,lead_lag,MSFT,XLK,5078,-0.7874684131918315,-0.39319607832183057,0.22103960996662794,-1.778848951014682,-0.7956010796474291,0.4626629790596602,5157.0,2582
mega_vs_etf,MSFT/XLK,buy_hold_follower,MSFT,XLK,5078,1.0990697446076467,0.2702100475850935,0.22100729510502534,1.2226295401547103,-0.263350733894554,0.5311014263074485,0.0,0
mega_vs_etf,NVDA/XLK,spread_mr,NVDA,XLK,5078,0.19635994189042494,0.059536057028518385,0.07240619870384547,0.8222508306510011,-0.06886989537175014,0.49169152109075415,154.0,154
mega_vs_etf,NVDA/XLK,lead_lag,NVDA,XLK,5078,-0.7632618906551889,-0.3717116974668927,0.22085825060823647,-1.6830328794292753,-0.7824175935025576,0.4672989527761312,5141.0,2575
mega_vs_etf,NVDA/XLK,buy_hold_follower,NVDA,XLK,5078,1.0990697446076467,0.2702100475850935,0.22100729510502534,1.2226295401547103,-0.263350733894554,0.5311014263074485,0.0,0
mega_vs_etf,JPM/XLF,spread_mr,JPM,XLF,5078,0.05333269460451673,0.016901593016175775,0.04098696648792396,0.4123650629561842,-0.05320071609300436,0.5017182130584192,174.0,174
mega_vs_etf,JPM/XLF,lead_lag,JPM,XLF,5078,-0.615713211816441,-0.2654469518863919,0.16223057556111176,-1.6362325718705155,-0.6296922764710426,0.45743203016471523,5035.0,2530
mega_vs_etf,JPM/XLF,buy_hold_follower,JPM,XLF,5078,0.5791162686535798,0.15878277272764474,0.16202906585242466,0.9799647482524115,-0.17659390760892713,0.5289173504102461,0.0,0
mega_vs_etf,BAC/XLF,spread_mr,BAC,XLF,5078,0.17412317045946923,0.05314311110143888,0.045019321597267674,1.1804511755384661,-0.06750859191156144,0.5089820359281437,186.0,186
mega_vs_etf,BAC/XLF,lead_lag,BAC,XLF,5078,-0.5951583371315712,-0.2529962260710661,0.16161690701187112,-1.565406928945144,-0.6019209417140656,0.4526127558116432,5029.0,2576
mega_vs_etf,BAC/XLF,buy_hold_follower,BAC,XLF,5078,0.5791162686535798,0.15878277272764474,0.16202906585242466,0.9799647482524115,-0.17659390760892713,0.5289173504102461,0.0,0
mega_vs_etf,XOM/XLE,spread_mr,XOM,XLE,5078,0.009006381733008162,0.0028963518382334463,0.043570304939828074,0.06647536303070169,-0.08443644148548424,0.49912663755458514,161.0,161
mega_vs_etf,XOM/XLE,lead_lag,XOM,XLE,5078,-0.7934608074935744,-0.39876845429399976,0.2160881365799375,-1.845397255977925,-0.8069524318262626,0.4732372111396405,5103.0,2581
mega_vs_etf,XOM/XLE,buy_hold_follower,XOM,XLE,5078,0.5471600519418864,0.15116610310738587,0.21600130169945791,0.6998388524422733,-0.23736037820728495,0.5285487708168121,0.0,0
mega_vs_etf,CVX/XLE,spread_mr,CVX,XLE,5078,0.026380748196518145,0.008434647701532016,0.046484204181811616,0.1814519114609761,-0.05275595437372249,0.4831600831600832,153.0,153
mega_vs_etf,CVX/XLE,lead_lag,CVX,XLE,5078,-0.7472659720813479,-0.35832005478881035,0.2166413851754059,-1.653977860687573,-0.7814376784457187,0.4689723320158103,5183.0,2622
mega_vs_etf,CVX/XLE,buy_hold_follower,CVX,XLE,5078,0.5471600519418864,0.15116610310738587,0.21600130169945791,0.6998388524422733,-0.23736037820728495,0.5285487708168121,0.0,0
mega_vs_etf,UNH/XLV,spread_mr,UNH,XLV,5078,0.41632679833619624,0.11882069234129777,0.07461084405208135,1.5925391791353571,-0.06862521749071582,0.5200386286817963,168.0,168
mega_vs_etf,UNH/XLV,lead_lag,UNH,XLV,5078,-0.6193679030140963,-0.2677076564259284,0.13368036116222645,-2.0025952510784624,-0.6578761752891218,0.4541320680110716,5107.0,2562
mega_vs_etf,UNH/XLV,buy_hold_follower,UNH,XLV,5078,0.11267387535956463,0.03503919299965097,0.13320310228604854,0.2630508779322996,-0.1882218766180026,0.5105242255758539,0.0,0
mega_vs_etf,JNJ/XLV,spread_mr,JNJ,XLV,5078,0.2881494624120593,0.08510456082705664,0.05301846279444356,1.605187256315092,-0.035302868090279715,0.5123428039124359,172.0,172
