scope,pair,mr_sharpe,mr_ann_ret,mr_max_dd,mr_hit,mr_trades,ll_sharpe,ll_ann_ret,ll_max_dd,ll_hit,ll_trades,bh_ann_ret,mr_vs_bh,ll_vs_bh
intra_sector,BAC/JPM,1.4520251155397135,0.09459619400849051,-0.07262165790851349,0.5019676432006996,174,-1.17806059304273,-0.2691062617581803,-0.6420085442743879,0.4686142913541255,2576,0.28559085046331667,-0.19099465645482616,-0.554697112221497
intra_sector,HD/LOW,1.2910801335472153,0.06638414403297155,-0.049089290877900926,0.5075452716297787,179,-1.3936866998174349,-0.3292840060111978,-0.7421951027938196,0.4848006316620608,2618,0.008489949789569629,0.05789419424340192,-0.3377739558007674
intra_sector,WMT/TGT,0.9367584023545996,0.13907850693769697,-0.18263685006229258,0.50764242704956,160,-0.8241670941773102,-0.2869417959862218,-0.7535130768709343,0.4759083728278041,2566,-0.0236894075527877,0.16276791449048467,-0.2632523884334341
intra_sector,AAPL/MSFT,0.9214700917813341,0.10178796967889037,-0.0805892590948567,0.5082198215124472,149,-1.2749382639435718,-0.30531870390731397,-0.7261230784519062,0.46206896551724136,2583,0.07568243830690013,0.02610553137199023,-0.3810011422142141
intra_sector,GS/MS,0.8911618079793305,0.06253402797428875,-0.08143369686422042,0.5125284738041003,174,-1.2857558053442693,-0.3738863723077167,-0.7846347890606422,0.466600790513834,2649,0.32277779191442724,-0.2602437639401385,-0.696664164222144
intra_sector,F/GM,0.5871587265887415,0.06277849591682605,-0.21908312632897187,0.5160751565762004,162,-1.1520847305751885,-0.3776729982845747,-0.78268843264874,0.45528455284552843,2725,0.2701333828396011,-0.20735488692277504,-0.6478063811241758
intra_sector,MA/V,0.5719713872283225,0.028223371691536325,-0.07177674781903576,0.5004488330341114,188,-1.170564018619967,-0.22994854844905788,-0.6078053685299795,0.4728636273929347,2510,0.12736634208793918,-0.09914297039640285,-0.35731489053699705
intra_sector,UPS/FDX,0.39625014500220634,0.04932287358754439,-0.18013948734678686,0.50830078125,161,-1.8466404913300114,-0.5586745652564409,-0.9276685625716358,0.4602328794158279,2663,0.17881430634604345,-0.12949143275849906,-0.7374888716024843
intra_sector,XOM/CVX,0.04772606383764831,0.0030044737961636425,-0.10297788941572383,0.50523311132255,150,-1.8001133906872082,-0.4026032707163141,-0.8054967557621078,0.4697389240506329,2581,0.07875891347760611,-0.07575443968144246,-0.4813621841939202
intra_sector,KO/PEP,-0.0671445009476359,-0.005091130096596119,-0.10594045910688721,0.49593165174938975,165,-1.1122923565181209,-0.20424873890619089,-0.5152631798020066,0.4781922241957766,2628,-0.07140409520540802,0.0663129651088119,-0.13284464370078286
mega_vs_etf,JNJ/XLV,1.605187256315092,0.08510456082705664,-0.035302868090279715,0.5123428039124359,172,-1.7535580572042007,-0.2336427236445815,-0.5946125711439512,0.46438464582508904,2570,0.03503919299965097,0.05006536782740567,-0.26868191664423247
mega_vs_etf,UNH/XLV,1.5925391791353571,0.11882069234129777,-0.06862521749071582,0.5200386286817963,168,-2.0025952510784624,-0.2677076564259284,-0.6578761752891218,0.4541320680110716,2562,0.03503919299965097,0.0837814993416468,-0.3027468494255794
mega_vs_etf,AAPL/XLK,1.5749539622034334,0.14084591076733588,-0.09338420458546393,0.5018814675446849,172,-1.5019286283483024,-0.3319281344379228,-0.7568635319952209,0.4741941862764485,2583,0.2702100475850935,-0.1293641368177576,-0.6021381820230163
mega_vs_etf,AMZN/XLY,1.519226438649046,0.10195633433232776,-0.051130662750167755,0.5081417624521073,176,-1.584414221929926,-0.32043732304700856,-0.7349956693683012,0.4739027283511269,2541,0.12120060135781374,-0.019244267025485984,-0.4416379244048223
mega_vs_etf,MSFT/XLK,1.267921126950072,0.08881631867513695,-0.08072502162049855,0.5077066791219057,166,-1.778848951014682,-0.39319607832183057,-0.7956010796474291,0.4626629790596602,2582,0.2702100475850935,-0.18139372890995653,-0.663406125906924
mega_vs_etf,BAC/XLF,1.1804511755384661,0.05314311110143888,-0.06750859191156144,0.5089820359281437,186,-1.565406928945144,-0.2529962260710661,-0.6019209417140656,0.4526127558116432,2576,0.15878277272764474,-0.10563966162620586,-0.4117789987987108
mega_vs_etf,META/XLC,1.180079434593453,0.06870974598070023,-0.04593492162274804,0.49503239740820737,161,-2.2019558667595778,-0.3580105791946997,-0.7576437247702859,0.4525504151838671,2564,0.21343147983853084,-0.1447217338578306,-0.5714420590332305
mega_vs_etf,GOOGL/XLC,0.9067371384463703,0.06196808135789511,-0.11248979334584885,0.5291794646774901,176,-2.074246217051488,-0.3354923804787935,-0.7455081309394436,0.4522583201267829,2614,0.21343147983853084,-0.15146339848063572,-0.5489238603173243
mega_vs_etf,NVDA/XLK,0.8222508306510011,0.059536057028518385,-0.06886989537175014,0.49169152109075415,154,-1.6830328794292753,-0.3717116974668927,-0.7824175935025576,0.4672989527761312,2575,0.2702100475850935,-0.2106739905565751,-0.6419217450519862
mega_vs_etf,JPM/XLF,0.4123650629561842,0.016901593016175775,-0.05320071609300436,0.5017182130584192,174,-1.6362325718705155,-0.2654469518863919,-0.6296922764710426,0.45743203016471523,2530,0.15878277272764474,-0.14188117971146896,-0.42422972461403663
mega_vs_etf,TSLA/XLY,0.27466112253070124,0.021341092720314814,-0.15247585211547,0.4956217162872154,158,-1.983966675644632,-0.4010369080439904,-0.8183353243152258,0.4576672587329781,2639,0.12120060135781374,-0.09985950863749893,-0.5222375094018041
